task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T025,T025-A-99-38975e,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,221,155,300,0.005163000000000001,0.000465,0.0,0.0,0.005628000000000001,False,False,0.4160419921390712,False,0.2,0,0,4629.622124994057,claude-sonnet-4-6
T025,T025-A-99-38975e,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,508,348,300,0.006024000000000001,0.001044,0.0,0.0,0.0070680000000000005,False,False,0.4670000053010881,False,0.4,0,0,5362.367958019604,claude-sonnet-4-6
T025,T025-A-99-38975e,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,577,500,300,0.006231,0.0015,0.0,0.0,0.007731,False,False,0.7730420038569719,False,0.4,0,0,10794.221792006283,claude-sonnet-4-6
T025,T025-A-99-38975e,cross-recon,cross-recon,99,sonnet,full-history,A,5,Billing,615,641,300,0.006345000000000001,0.001923,0.0,0.0,0.008268000000000001,False,False,0.3893749963026494,True,0.8,0,0,6496.509124990553,claude-sonnet-4-6
T026,T026-A-99-735fa7,extract,extract,99,sonnet,full-history,A,1,Billing,73,0,297,0.004673999999999999,0.0,0.0,0.0,0.004673999999999999,False,False,0.2705410006456077,True,1.0,0,0,6814.444249001099,claude-sonnet-4-6
T026,T026-A-99-735fa7,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,228,148,300,0.005184,0.000444,0.0,0.0,0.005628,False,False,0.4125419945921749,False,0.25,0,0,3853.680666987202,claude-sonnet-4-6
T026,T026-A-99-735fa7,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,510,368,300,0.006030000000000001,0.001104,0.0,0.0,0.007134000000000001,False,False,0.4261249996488914,False,0.5,0,0,5117.371041997103,claude-sonnet-4-6
T026,T026-A-99-735fa7,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,561,512,300,0.006183000000000001,0.001536,0.0,0.0,0.007719000000000001,False,False,0.3162079956382513,False,0.5,0,0,6705.262541989214,claude-sonnet-4-6
T026,T026-A-99-735fa7,cross-recon,cross-recon,99,sonnet,full-history,A,5,Billing,574,626,300,0.006222,0.0018780000000000001,0.0,0.0,0.0081,False,False,0.4338750004535541,True,0.75,0,0,7876.636207991396,claude-sonnet-4-6
T027,T027-A-99-7e2830,extract,extract,99,sonnet,full-history,A,1,Billing,73,0,252,0.003999,0.0,0.0,0.0,0.003999,False,False,0.26279200392309576,True,0.75,0,0,6610.677833014051,claude-sonnet-4-6
T027,T027-A-99-7e2830,sql-gen,sql-gen,99,sonnet,full-history,A,2,Billing,229,141,300,0.005187000000000001,0.00042300000000000004,0.0,0.0,0.00561,False,False,0.49979200412053615,False,0.0,0,0,4740.385917000822,claude-sonnet-4-6
T027,T027-A-99-7e2830,billing-recon,billing-recon,99,sonnet,full-history,A,3,Billing,505,355,300,0.006015,0.001065,0.0,0.0,0.00708,False,False,1.5671669971197844,False,0.0,0,0,5119.474083985551,claude-sonnet-4-6
T027,T027-A-99-7e2830,policy-check,policy-check,99,sonnet,full-history,A,4,Billing,568,490,300,0.006204,0.00147,0.0,0.0,0.007674,False,False,0.5190410010982305,False,0.5,0,0,7816.869749003672,claude-sonnet-4-6
T027,T027-A-99-7e2830,cross-recon,cross-recon,99,sonnet,full-history,A,5,Billing,587,614,300,0.006261000000000001,0.001842,0.0,0.0,0.008103,False,False,0.2635000128066167,False,0.5,0,0,7385.619625012623,claude-sonnet-4-6
T028,T028-A-99-e3f21c,extract,extract,99,sonnet,full-history,A,1,Billing,71,0,252,0.003993,0.0,0.0,0.0,0.003993,False,False,0.3401660069357604,True,1.0,0,0,6614.2720820062095,claude-sonnet-4-6
